日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
369513890,OSS,"OS=1,PROC=3034,NE=3146227,PWE3=2|1264|",网管,OSS,OS=1,OSS,1078567600,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月28日 08时12分10秒 GMT+08:00,,2020年11月28日 08时12分41秒 GMT+08:00,, < 网元 > ,淮安技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:淮安技侦专网,Source[H45837-淮安新市公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:04:14-59-pwe3",2020年11月28日 08时12分10秒 GMT+08:00,628773,0,,369513888,0
369513898,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1330700,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月28日 08时13分42秒 GMT+08:00,,2020年11月28日 08时14分02秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月28日 08时12分16秒 GMT+08:00,988794,0,,,0
369513903,OSS,"OS=1,PROC=3034,NE=3146205,PWE3=2|564|",网管,OSS,OS=1,OSS,1078567601,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月28日 08时12分20秒 GMT+08:00,,2020年11月28日 08时12分41秒 GMT+08:00,, < 网元 > ,徐州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:徐州技侦专网,Source[H43277-徐州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:05:11-60-pwe3",2020年11月28日 08时12分20秒 GMT+08:00,948130,0,,369513900,0
369513908,"ONE=4063256,NE=3145768,FR=2,S=1,CP=-1,PP=3||71|,OTU2=1","ONE=4063256,NE=3145768,FR=2,S=1,CP=-1,PP=3||71|,OTU2=1",移动,WDM_OADM,ONE=4063256,H224-盐城响水分公司,498364,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年11月28日 08时13分25秒 GMT+08:00,,2020年11月28日 08时13分43秒 GMT+08:00,, < 网元 > ,2-业务子架-1-12ND2-71(ODU2LP1/ODU2LP1)-OTU2:1,,,,,335,,是,正常清除,是,,2020年11月28日 08时12分22秒 GMT+08:00,1004221,0,,,0
369513910,OSS,"OS=1,PROC=3034,NE=3146148,PWE3=2|1297|",网管,OSS,OS=1,OSS,1078567602,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月28日 08时12分23秒 GMT+08:00,,2020年11月28日 08时12分41秒 GMT+08:00,, < 网元 > ,南通技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:南通技侦专网,Source[H33293-南通公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:14:49-69-pwe3",2020年11月28日 08时12分23秒 GMT+08:00,629074,0,,369513905,0
369513857,OSS,"OS=1,PROC=3034,NE=3146053,PWE3=2|800|",网管,OSS,OS=1,OSS,1078567597,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月28日 08时11分49秒 GMT+08:00,,2020年11月28日 08时12分44秒 GMT+08:00,, < 网元 > ,镇江技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:镇江技侦专网,Source[H30477-镇江公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:15:48-70-pwe3",2020年11月28日 08时11分49秒 GMT+08:00,946695,0,,369513854,0
369513931,"ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1","ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063255,H222-盐城滨海分公司,1568450,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年11月28日 08时13分26秒 GMT+08:00,,2020年11月28日 08时13分31秒 GMT+08:00,, < 网元 > ,2-业务子架-11-52NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年11月28日 08时12分39秒 GMT+08:00,1019205,0,,,0
369513934,"ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1","ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1",移动,WDM_OADM,ONE=4063270,H304-盐城解放南路（市到县）,779476,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年11月28日 08时13分46秒 GMT+08:00,,2020年11月28日 08时13分49秒 GMT+08:00,, < 网元 > ,0-主子架-2-53NQ2-2(IN2/OUT2)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年11月28日 08时12分41秒 GMT+08:00,1019289,0,,,0
369513918,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17091259,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月28日 08时13分56秒 GMT+08:00,,2020年11月28日 08时14分11秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月28日 08时12分30秒 GMT+08:00,624684,0,,,0
369513932,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17091260,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月28日 08时14分06秒 GMT+08:00,,2020年11月28日 08时14分21秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年11月28日 08时12分40秒 GMT+08:00,935154,0,,,0
