日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
371284231,OSS,"OS=1,PROC=3034,NE=3146148,PWE3=2|1297|",网管,OSS,OS=1,OSS,1078725359,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月12日 07时33分34秒 GMT+08:00,,2020年12月12日 07时34分02秒 GMT+08:00,, < 网元 > ,南通技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:南通技侦专网,Source[H33293-南通公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:14:49-69-pwe3",2020年12月12日 07时33分34秒 GMT+08:00,629074,0,,371284223,0
371284240,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1369250,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月12日 07时34分07秒 GMT+08:00,,2020年12月12日 07时34分27秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月12日 07时33分37秒 GMT+08:00,988794,0,,,0
371284254,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17210278,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月12日 07时34分13秒 GMT+08:00,,2020年12月12日 07时34分33秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月12日 07时33分43秒 GMT+08:00,935154,0,,,0
371284286,"NE=3146205,PW=61|5||||","NE=3146205,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146205,H43277-徐州公安局,1544401,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月12日 07时34分22秒 GMT+08:00,,2020年12月12日 07时34分32秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月12日 07时33分51秒 GMT+08:00,1074883,0,,,0
371284275,OSS,"OS=1,PROC=3034,NE=3146227,PWE3=2|1264|",网管,OSS,OS=1,OSS,1078725361,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月12日 07时33分46秒 GMT+08:00,,2020年12月12日 07时34分11秒 GMT+08:00,, < 网元 > ,淮安技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:淮安技侦专网,Source[H45837-淮安新市公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:04:14-59-pwe3",2020年12月12日 07时33分46秒 GMT+08:00,628773,0,,371284254,0
371284006,OSS,"OS=1,PROC=3034,NE=3146205,PWE3=2|564|",网管,OSS,OS=1,OSS,1078725349,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月12日 07时32分03秒 GMT+08:00,,2020年12月12日 07时34分20秒 GMT+08:00,, < 网元 > ,徐州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:徐州技侦专网,Source[H43277-徐州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:05:11-60-pwe3",2020年12月12日 07时32分03秒 GMT+08:00,948130,0,,371283993,0
371284290,"NE=3146246,PW=62|5||||","NE=3146246,PW=62|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17210279,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月12日 07时34分23秒 GMT+08:00,,2020年12月12日 07时34分43秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,62)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月12日 07时33分53秒 GMT+08:00,624684,0,,,0
371284297,OSS,"OS=1,PROC=3034,NE=3146202,PWE3=2|987|",网管,OSS,OS=1,OSS,1078725362,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月12日 07时33分56秒 GMT+08:00,,2020年12月12日 07时34分20秒 GMT+08:00,, < 网元 > ,连云港技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:连云港技侦专网,Source[H48397-连云港公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:06:29-61-pwe3",2020年12月12日 07时33分56秒 GMT+08:00,628802,0,,371284290,0
371284321,"NE=3146246,PW=61|5||||","NE=3146246,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17210280,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月12日 07时34分33秒 GMT+08:00,,2020年12月12日 07时34分43秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年12月12日 07时34分03秒 GMT+08:00,926489,0,,,0
371284353,"NE=3146751,FR=0,S=13,CP=-1,PP=3||205|,CLIENT=1","NE=3146751,FR=0,S=13,CP=-1,PP=3||205|,CLIENT=1",移动,OptiX OSN 8800 T32,NE=3146751,H702-省干南京鼓楼三楼,378855,REM_SF,通信质量,次要,未确认已清除 告警,2020年12月12日 07时35分43秒 GMT+08:00,,2020年12月12日 07时35分48秒 GMT+08:00,, < 网元 > ,0-主子架（河西）-13-52TOM-205(ClientLP5/ClientLP5)-CLIENT:1:1,,,,,63604,,是,正常清除,是,,2020年12月12日 07时34分17秒 GMT+08:00,1085988,0,,,0
