日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
370479513,"NE=3146205,PW=61|5||||","NE=3146205,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146205,H43277-徐州公安局,1525668,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月6日 02时05分01秒 GMT+08:00,,2020年12月6日 02时05分11秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月6日 02时04分52秒 GMT+08:00,1074883,0,,,0
370479516,"NE=3146246,PW=61|5||||","NE=3146246,PW=61|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17157030,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月6日 02时05分02秒 GMT+08:00,,2020年12月6日 02时05分12秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x01",2020年12月6日 02时04分54秒 GMT+08:00,926489,0,,,0
370479517,OSS,"OS=1,PROC=3034,NE=3146205,PWE3=2|564|",网管,OSS,OS=1,OSS,1078657496,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月6日 02时04分55秒 GMT+08:00,,2020年12月6日 02时05分13秒 GMT+08:00,, < 网元 > ,徐州技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:徐州技侦专网,Source[H43277-徐州公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-07-06 09:05:11-60-pwe3",2020年12月6日 02时04分55秒 GMT+08:00,948130,0,,370479513,0
370479535,"ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1","ONE=4063270,NE=3146075,FR=0,S=2,CP=-1,PP=3||2|,PATH=OCh:1-OTU2:1",移动,WDM_OADM,ONE=4063270,H304-盐城解放南路（市到县）,783860,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月6日 02时05分11秒 GMT+08:00,,2020年12月6日 02时05分15秒 GMT+08:00,, < 网元 > ,0-主子架-2-53NQ2-2(IN2/OUT2)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月6日 02时05分10秒 GMT+08:00,1019289,0,,,0
370479531,"NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1","NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1",移动,OptiX OSN 8800 T32,NE=3146747,H710-省干南京河西7楼,743179,BEFFEC_EXC,业务质量,提示,未确认已清除 告警,2020年12月6日 02时05分29秒 GMT+08:00,,2020年12月6日 02时05分42秒 GMT+08:00,, < 网元 > ,5-subrack-34-53NQ2-4(IN4/OUT4)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月6日 02时05分05秒 GMT+08:00,1059922,0,,,0
370479510,"NE=3146148,PW=70|5||||","NE=3146148,PW=70|5||||",移动,OptiX OSN 1800 V,NE=3146148,H33293-南通公安局,3017663,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月6日 02时05分01秒 GMT+08:00,,2020年12月6日 02时05分21秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月6日 02时04分51秒 GMT+08:00,1025752,0,,,0
370479515,"NE=3146246,PW=60|5||||","NE=3146246,PW=60|5||||",移动,OptiX OSN 1800 V,NE=3146246,H12855-南京省技侦,17157029,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月6日 02时05分02秒 GMT+08:00,,2020年12月6日 02时05分22秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,60)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月6日 02时04分54秒 GMT+08:00,935154,0,,,0
370479518,OSS,"OS=1,PROC=3034,NE=3146148,PWE3=2|1297|",网管,OSS,OS=1,OSS,1078657497,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年12月6日 02时04分55秒 GMT+08:00,,2020年12月6日 02时05分22秒 GMT+08:00,, < 网元 > ,南通技侦专网,,,,(衍生告警),20,,是,正常清除,,"Name:南通技侦专网,Source[H33293-南通公安局],Sink[H12855-南京省技侦],Level:ETH,UID:2016-09-29 04:14:49-69-pwe3",2020年12月6日 02时04分55秒 GMT+08:00,629074,0,,370479510,0
370479521,"NE=3146053,PW=71|5||||","NE=3146053,PW=71|5||||",移动,OptiX OSN 1800 V,NE=3146053,H30477-镇江公安局,1352075,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年12月6日 02时05分06秒 GMT+08:00,,2020年12月6日 02时05分26秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,"
告警参数II(16进制) 0x00",2020年12月6日 02时04分57秒 GMT+08:00,988794,0,,,0
370479546,"ONE=4063238,NE=3145737,FR=5,S=6,CP=-1,PP=3||72|,OTU2=1","ONE=4063238,NE=3145737,FR=5,S=6,CP=-1,PP=3||72|,OTU2=1",移动,WDM_OADM,ONE=4063238,H229-盐城开发区（市到县）,4331288,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月6日 02时05分22秒 GMT+08:00,,2020年12月6日 02时05分25秒 GMT+08:00,, < 网元 > ,5-开发区（市到县扩）-6-52ND2-72(ODU2LP2/ODU2LP2)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月6日 02时05分22秒 GMT+08:00,1014613,0,,,0
